Title,Description,Lat,Long
Doris St. & Airport Way,"<h2>Goal</h2>
<p>Add a pocket park or plaza at the corner of Doris and Airport</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Now the Trailer Park Mall</p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Georgetown Playfield,"<h2>Goal</h2>
<p>Improve the Playfield / encourage local use of Playfield</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Playfield improvements to include turf grass for leagues and a small grass area for community pickup games</p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Completed. Park is in heavy and constant use.</p>",44.666,-122.123
Main Street,"<h2>Goal</h2>
<p>""Main Street"" revitalization / attract investment</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Airport way is revitalized</p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Identify other streets that could be revitalized</p>",44.666,-122.123
Oxbow Park,"<h2>Goal</h2>
<p>Hat and Boots preservation</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Hat & Boots moved</p>
<h2>Challenges and Barriers</h2>
<p>Ongoing graffitti problem with Boots</p>
<h2>Next Steps</h2>
<p>Restoration of the Hat; repainting the Boots</p>",44.666,-122.123
Train station stop,"<h2>Goal</h2>
<p>Train station stop</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>A Link stop at Boeing Access Road is included in initial study of Sound Transit 3 funding</p>
<h2>Challenges and Barriers</h2>
<p>One of many things being considered</p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Railroad spur crossing on Corson Ave.,"<h2>Goal</h2>
<p>Safety gates at the railroad spur crossing on Corson</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Reach out to Union Pacific</p>",44.666,-122.123
Airport Way,"<h2>Goal</h2>
<p>Crosswalks on Airport Way</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Cross walk added at the new traffic light (Stanley and Airport)</p>
<h2>Challenges and Barriers</h2>
<p>Getting a pedestrian-operated light across Airport Way requires 200 people/hour. Not enough traffic to get city to install.</p>
<h2>Next Steps</h2>
<p>Provide red crossing flags for pedestrians.</p>",44.666,-122.123
Georgetown Steam Plant,"<h2>Goal</h2>
<p>Pedestrian and bicycle connections to the GT Steam Plant</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Seattle City Light is working with KCIA on this</p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Perimeter Road S.,"<h2>Goal</h2>
<p>Widen and improve access points to Perimeter Road S.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Orcas Traffic Control,"<h2>Goal</h2>
<p>Traffic control improvements along Orcas between 1st and 4th </p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Orcas Traffic Control,"<h2>Goal</h2>
<p>Traffic control improvements along Orcas between 1st and 4th </p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
6th Ave Improvements,"<h2>Goal</h2>
<p>Parking and pedestrian improvements along 6th Ave S.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
8th Ave South,"<h2>Goal</h2>
<p>Maintain sidewalk on 8th Ave S to allow peds to walk safely to the park</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Project has stalled.</p>
<h2>Challenges and Barriers</h2>
<p>Industrial nature of 8th Ave difficult for pedestrians</p>
<h2>Next Steps</h2>
<p>Work with businesses and SDOT on this.</p>",44.666,-122.123
Traffic Calming,"<h2>Goal</h2>
<p>Use traffic calming to protect residential streets</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Traffic circles installed throughout the neighborhoos with Neighborhood Street Fund grants</p>
<h2>Challenges and Barriers</h2>
<p>Corgiat Mitigation not fully implemented on Corson</p>
<h2>Next Steps</h2>
<p>Neckdowns at Corson and Marginal; Ellis and Marginal; 12th and Vale</p>",44.666,-122.123
